Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
105 	 0.000046 	 0.000236 	 0.082823 	 0.429253
106 	 0.000046 	 0.000236 	 0.082832 	 0.429318
107 	 0.000046 	 0.000237 	 0.082865 	 0.429507
108 	 0.000046 	 0.000237 	 0.082917 	 0.430841
109 	 0.000046 	 0.000238 	 0.082975 	 0.431444
110 	 0.000046 	 0.000238 	 0.083016 	 0.431302
111 	 0.000046 	 0.000237 	 0.082679 	 0.430382
112 	 0.000046 	 0.000237 	 0.082775 	 0.429666
113 	 0.000046 	 0.000237 	 0.082762 	 0.429848
114 	 0.000046 	 0.000237 	 0.082777 	 0.430791
115 	 0.000046 	 0.000238 	 0.082787 	 0.431419
116 	 0.000046 	 0.000239 	 0.082841 	 0.433432
117 	 0.000046 	 0.000239 	 0.082863 	 0.434372
118 	 0.000046 	 0.000239 	 0.082858 	 0.434404
119 	 0.000046 	 0.000239 	 0.082848 	 0.434330
120 	 0.000046 	 0.000239 	 0.082838 	 0.434237
121 	 0.000045 	 0.000239 	 0.082356 	 0.433613
122 	 0.000045 	 0.000239 	 0.082342 	 0.433582
123 	 0.000045 	 0.000239 	 0.082299 	 0.434077
124 	 0.000045 	 0.000241 	 0.082280 	 0.436721
125 	 0.000045 	 0.000241 	 0.082331 	 0.437505
126 	 0.000045 	 0.000241 	 0.082349 	 0.437617
127 	 0.000045 	 0.000241 	 0.082397 	 0.437577
128 	 0.000045 	 0.000241 	 0.082418 	 0.437337
129 	 0.000045 	 0.000241 	 0.082420 	 0.437133
130 	 0.000045 	 0.000241 	 0.082416 	 0.437070
131 	 0.000045 	 0.000241 	 0.081919 	 0.436729
132 	 0.000045 	 0.000240 	 0.081921 	 0.436672
133 	 0.000045 	 0.000241 	 0.081906 	 0.436752
134 	 0.000045 	 0.000241 	 0.081860 	 0.437103
135 	 0.000045 	 0.000241 	 0.081889 	 0.438349
136 	 0.000045 	 0.000241 	 0.081901 	 0.438390
137 	 0.000045 	 0.000241 	 0.081942 	 0.438343
138 	 0.000045 	 0.000241 	 0.082028 	 0.438194
