Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
105 	 0.000065 	 0.000496 	 0.096662 	 0.742981
106 	 0.000065 	 0.000501 	 0.096792 	 0.750275
107 	 0.000065 	 0.000502 	 0.096770 	 0.751114
108 	 0.000065 	 0.000502 	 0.096776 	 0.751083
109 	 0.000065 	 0.000502 	 0.096778 	 0.750934
110 	 0.000065 	 0.000501 	 0.096775 	 0.750384
111 	 0.000064 	 0.000500 	 0.096018 	 0.749145
112 	 0.000064 	 0.000500 	 0.096081 	 0.748432
113 	 0.000064 	 0.000500 	 0.096006 	 0.748715
114 	 0.000064 	 0.000501 	 0.095782 	 0.750523
115 	 0.000064 	 0.000503 	 0.095723 	 0.753171
116 	 0.000064 	 0.000503 	 0.095711 	 0.753474
117 	 0.000064 	 0.000505 	 0.095763 	 0.756611
118 	 0.000064 	 0.000508 	 0.095922 	 0.760366
119 	 0.000064 	 0.000510 	 0.096067 	 0.763312
120 	 0.000064 	 0.000510 	 0.096084 	 0.762769
121 	 0.000064 	 0.000499 	 0.095336 	 0.746968
122 	 0.000064 	 0.000496 	 0.095482 	 0.742867
123 	 0.000064 	 0.000496 	 0.095386 	 0.742274
124 	 0.000064 	 0.000489 	 0.095287 	 0.731862
125 	 0.000064 	 0.000474 	 0.095659 	 0.709455
126 	 0.000064 	 0.000471 	 0.095741 	 0.705796
127 	 0.000064 	 0.000471 	 0.095771 	 0.704543
128 	 0.000064 	 0.000471 	 0.095769 	 0.704559
129 	 0.000064 	 0.000471 	 0.095764 	 0.704449
130 	 0.000064 	 0.000470 	 0.095757 	 0.703599
131 	 0.000064 	 0.000467 	 0.095093 	 0.699741
132 	 0.000064 	 0.000465 	 0.095144 	 0.695492
133 	 0.000064 	 0.000465 	 0.095114 	 0.696816
134 	 0.000064 	 0.000469 	 0.095096 	 0.701916
135 	 0.000064 	 0.000473 	 0.095191 	 0.707612
136 	 0.000064 	 0.000474 	 0.095278 	 0.709956
137 	 0.000064 	 0.000476 	 0.095379 	 0.712313
138 	 0.000064 	 0.000475 	 0.095421 	 0.710884
139 	 0.000064 	 0.000474 	 0.095378 	 0.709491
140 	 0.000064 	 0.000474 	 0.095372 	 0.709032
141 	 0.000063 	 0.000473 	 0.094843 	 0.707623
142 	 0.000063 	 0.000472 	 0.094839 	 0.707330
143 	 0.000063 	 0.000473 	 0.094806 	 0.708100
144 	 0.000063 	 0.000476 	 0.094757 	 0.712286
145 	 0.000063 	 0.000478 	 0.094923 	 0.715802
146 	 0.000063 	 0.000478 	 0.094898 	 0.715871
147 	 0.000063 	 0.000478 	 0.094892 	 0.715799
148 	 0.000063 	 0.000478 	 0.094878 	 0.715672
149 	 0.000063 	 0.000478 	 0.094813 	 0.715620
150 	 0.000063 	 0.000478 	 0.094617 	 0.715357
151 	 0.000063 	 0.000477 	 0.094077 	 0.714667
152 	 0.000063 	 0.000478 	 0.094022 	 0.714926
153 	 0.000063 	 0.000478 	 0.094019 	 0.714889
154 	 0.000063 	 0.000478 	 0.094013 	 0.715075
155 	 0.000063 	 0.000479 	 0.094000 	 0.716674
156 	 0.000063 	 0.000482 	 0.094279 	 0.722002
157 	 0.000063 	 0.000482 	 0.094262 	 0.722278
158 	 0.000063 	 0.000482 	 0.094260 	 0.722156
159 	 0.000063 	 0.000482 	 0.094255 	 0.721849
160 	 0.000063 	 0.000482 	 0.094249 	 0.721393
161 	 0.000063 	 0.000481 	 0.093737 	 0.719905
162 	 0.000063 	 0.000482 	 0.093714 	 0.721671
163 	 0.000063 	 0.000482 	 0.093706 	 0.721324
164 	 0.000063 	 0.000481 	 0.093724 	 0.720301
165 	 0.000063 	 0.000481 	 0.093742 	 0.719451
166 	 0.000063 	 0.000478 	 0.093809 	 0.714860
167 	 0.000063 	 0.000472 	 0.093887 	 0.706062
168 	 0.000063 	 0.000462 	 0.094008 	 0.691209
169 	 0.000063 	 0.000455 	 0.094102 	 0.680725
170 	 0.000063 	 0.000453 	 0.094120 	 0.678679
171 	 0.000062 	 0.000453 	 0.093447 	 0.677926
172 	 0.000062 	 0.000453 	 0.093438 	 0.678595
173 	 0.000062 	 0.000450 	 0.093414 	 0.672993
174 	 0.000063 	 0.000445 	 0.093668 	 0.665933
175 	 0.000063 	 0.000445 	 0.093662 	 0.666460
