"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
71	+1.000004613e+00	-1.122432752e-02	+8.992634766e-03	0.142356112	0.500000000
72	+1.000004725e+00	-1.130300811e-02	+9.177825241e-03	0.144359719	0.500000000
73	+1.000004832e+00	-1.139113742e-02	+9.356480828e-03	0.146363327	0.500000000
74	+1.000004935e+00	-1.148970491e-02	+9.527832778e-03	0.148366934	0.500000000
75	+1.000005033e+00	-1.159968400e-02	+9.691126877e-03	0.150370541	0.500000000
76	+1.000005126e+00	-1.172159033e-02	+9.846022154e-03	0.152374148	0.500000000
77	+1.000005214e+00	-1.185485609e-02	+9.993155767e-03	0.154377756	0.500000000
78	+1.000005298e+00	-1.199874273e-02	+1.013331905e-02	0.156381363	0.500000000
79	+1.000005379e+00	-1.215251165e-02	+1.026730333e-02	0.158384970	0.500000000
80	+1.000005456e+00	-1.231542430e-02	+1.039589994e-02	0.160388577	0.500000000
81	+1.000005531e+00	-1.248674209e-02	+1.051990021e-02	0.162392184	0.500000000
82	+1.000005603e+00	-1.266572646e-02	+1.064009548e-02	0.164395792	0.500000000
83	+1.000005673e+00	-1.285163882e-02	+1.075727706e-02	0.166399399	0.500000000
84	+1.000005742e+00	-1.304374062e-02	+1.087223630e-02	0.168403006	0.500000000
85	+1.000005810e+00	-1.324129326e-02	+1.098576453e-02	0.170406613	0.500000000
86	+1.000005878e+00	-1.344355819e-02	+1.109865307e-02	0.172410220	0.500000000
87	+1.000005946e+00	-1.364979682e-02	+1.121169326e-02	0.174413828	0.500000000
88	+1.000006015e+00	-1.385927059e-02	+1.132567642e-02	0.176417435	0.500000000
89	+1.000006084e+00	-1.407124091e-02	+1.144139389e-02	0.178421042	0.500000000
90	+1.000006155e+00	-1.428496923e-02	+1.155963700e-02	0.180424649	0.500000000
91	+1.000006228e+00	-1.449971695e-02	+1.168119708e-02	0.182428257	0.500000000
92	+1.000006304e+00	-1.471474552e-02	+1.180686546e-02	0.184431864	0.500000000
93	+1.000006382e+00	-1.492931635e-02	+1.193743348e-02	0.186435471	0.500000000
94	+1.000006464e+00	-1.514269088e-02	+1.207369245e-02	0.188439078	0.500000000
95	+1.000006549e+00	-1.535413053e-02	+1.221643372e-02	0.190442685	0.500000000
96	+1.000006640e+00	-1.556289672e-02	+1.236644862e-02	0.192446293	0.500000000
97	+1.000006735e+00	-1.576825089e-02	+1.252452847e-02	0.194449900	0.500000000
98	+1.000006835e+00	-1.596945446e-02	+1.269146460e-02	0.196453507	0.500000000
99	+1.000006941e+00	-1.616576891e-02	+1.286804829e-02	0.198457114	0.500000000
100	+1.000007053e+00	-1.635646803e-02	+1.305505536e-02	0.200460721	0.500000000
101	+1.000007172e+00	-1.654119580e-02	+1.325279748e-02	0.202464329	0.500000000
102	+1.000007297e+00	-1.672037257e-02	+1.346061289e-02	0.204467936	0.500000000
103	+1.000007427e+00	-1.689452337e-02	+1.367770857e-02	0.206471543	0.500000000
104	+1.000007563e+00	-1.706417319e-02	+1.390329154e-02	0.208475150	0.500000000
105	+1.000007703e+00	-1.722984706e-02	+1.413656881e-02	0.210478758	0.500000000
106	+1.000007847e+00	-1.739206999e-02	+1.437674738e-02	0.212482365	0.500000000
107	+1.000007995e+00	-1.755136697e-02	+1.462303426e-02	0.214485972	0.500000000
108	+1.000008146e+00	-1.770826304e-02	+1.487463645e-02	0.216489579	0.500000000
109	+1.000008300e+00	-1.786328319e-02	+1.513076096e-02	0.218493186	0.500000000
110	+1.000008456e+00	-1.801695243e-02	+1.539061481e-02	0.220496794	0.500000000
111	+1.000008614e+00	-1.816979578e-02	+1.565340499e-02	0.222500401	0.500000000
112	+1.000008773e+00	-1.832233825e-02	+1.591833851e-02	0.224504008	0.500000000
113	+1.000008933e+00	-1.847510486e-02	+1.618462238e-02	0.226507615	0.500000000
114	+1.000009093e+00	-1.862862060e-02	+1.645146361e-02	0.228511222	0.500000000
115	+1.000009253e+00	-1.878341049e-02	+1.671806920e-02	0.230514830	0.500000000
116	+1.000009412e+00	-1.893999954e-02	+1.698364616e-02	0.232518437	0.500000000
117	+1.000009571e+00	-1.909891277e-02	+1.724740149e-02	0.234522044	0.500000000
118	+1.000009728e+00	-1.926067518e-02	+1.750854221e-02	0.236525651	0.500000000
119	+1.000009882e+00	-1.942581178e-02	+1.776627532e-02	0.238529259	0.500000000
120	+1.000010035e+00	-1.959484759e-02	+1.801980783e-02	0.240532866	0.500000000
121	+1.000010184e+00	-1.976830762e-02	+1.826834673e-02	0.242536473	0.500000000
122	+1.000010330e+00	-1.994671687e-02	+1.851109905e-02	0.244540080	0.500000000
123	+1.000010472e+00	-2.013060036e-02	+1.874727179e-02	0.246543687	0.500000000
124	+1.000010609e+00	-2.032048304e-02	+1.897607203e-02	0.248547295	0.500000000
125	+1.000010741e+00	-2.051688080e-02	+1.919672054e-02	0.250550902	0.500000000
126	+1.000010869e+00	-2.072002812e-02	+1.940886185e-02	0.252554509	0.500000000
127	+1.000010991e+00	-2.092963697e-02	+1.961292740e-02	0.254558116	0.500000000
128	+1.000011109e+00	-2.114535948e-02	+1.980943878e-02	0.256561723	0.500000000
129	+1.000011223e+00	-2.136684776e-02	+1.999891760e-02	0.258565331	0.500000000
130	+1.000011333e+00	-2.159375391e-02	+2.018188546e-02	0.260568938	0.500000000
131	+1.000011439e+00	-2.182573004e-02	+2.035886395e-02	0.262572545	0.500000000
132	+1.000011542e+00	-2.206242828e-02	+2.053037466e-02	0.264576152	0.500000000
133	+1.000011642e+00	-2.230350073e-02	+2.069693921e-02	0.266579760	0.500000000
134	+1.000011740e+00	-2.254859950e-02	+2.085907917e-02	0.268583367	0.500000000
135	+1.000011835e+00	-2.279737671e-02	+2.101731617e-02	0.270586974	0.500000000
136	+1.000011928e+00	-2.304948447e-02	+2.117217178e-02	0.272590581	0.500000000
137	+1.000012019e+00	-2.330457489e-02	+2.132416762e-02	0.274594188	0.500000000
138	+1.000012109e+00	-2.356230008e-02	+2.147382528e-02	0.276597796	0.500000000
139	+1.000012198e+00	-2.382231215e-02	+2.162166635e-02	0.278601403	0.500000000
140	+1.000012286e+00	-2.408426322e-02	+2.176821243e-02	0.280605010	0.500000000
141	+1.000012373e+00	-2.434780540e-02	+2.191398513e-02	0.282608617	0.500000000
142	+1.000012461e+00	-2.461259079e-02	+2.205950604e-02	0.284612224	0.500000000
143	+1.000012548e+00	-2.487827152e-02	+2.220529676e-02	0.286615832	0.500000000
144	+1.000012636e+00	-2.514449969e-02	+2.235187889e-02	0.288619439	0.500000000
145	+1.000012725e+00	-2.541092742e-02	+2.249977403e-02	0.290623046	0.500000000
146	+1.000012815e+00	-2.567720681e-02	+2.264950376e-02	0.292626653	0.500000000
147	+1.000012906e+00	-2.594298999e-02	+2.280158970e-02	0.294630261	0.500000000
148	+1.000012999e+00	-2.620792905e-02	+2.295655344e-02	0.296633868	0.500000000
149	+1.000013094e+00	-2.647167616e-02	+2.311491650e-02	0.298637475	0.500000000
150	+1.000013192e+00	-2.673388931e-02	+2.327718992e-02	0.300641082	0.500000000
151	+1.000013292e+00	-2.699440763e-02	+2.344355936e-02	0.302644689	0.500000000
152	+1.000013394e+00	-2.725336784e-02	+2.361367591e-02	0.304648297	0.500000000
153	+1.000013498e+00	-2.751093546e-02	+2.378713897e-02	0.306651904	0.500000000
154	+1.000013604e+00	-2.776727599e-02	+2.396354794e-02	0.308655511	0.500000000
155	+1.000013712e+00	-2.802255492e-02	+2.414250223e-02	0.310659118	0.500000000
156	+1.000013820e+00	-2.827693777e-02	+2.432360125e-02	0.312662725	0.500000000
157	+1.000013930e+00	-2.853059003e-02	+2.450644440e-02	0.314666333	0.500000000
158	+1.000014041e+00	-2.878367722e-02	+2.469063108e-02	0.316669940	0.500000000
159	+1.000014152e+00	-2.903636483e-02	+2.487576070e-02	0.318673547	0.500000000
160	+1.000014263e+00	-2.928881837e-02	+2.506143266e-02	0.320677154	0.500000000
161	+1.000014375e+00	-2.954120334e-02	+2.524724637e-02	0.322680762	0.500000000
162	+1.000014486e+00	-2.979368524e-02	+2.543280122e-02	0.324684369	0.500000000
163	+1.000014597e+00	-3.004642959e-02	+2.561769664e-02	0.326687976	0.500000000
164	+1.000014708e+00	-3.029960187e-02	+2.580153201e-02	0.328691583	0.500000000
165	+1.000014817e+00	-3.055336760e-02	+2.598390674e-02	0.330695190	0.500000000
166	+1.000014926e+00	-3.080789229e-02	+2.616442024e-02	0.332698798	0.500000000
167	+1.000015033e+00	-3.106334142e-02	+2.634267191e-02	0.334702405	0.500000000
168	+1.000015138e+00	-3.131988051e-02	+2.651826116e-02	0.336706012	0.500000000
169	+1.000015242e+00	-3.157767506e-02	+2.669078739e-02	0.338709619	0.500000000
170	+1.000015343e+00	-3.183689058e-02	+2.685985000e-02	0.340713226	0.500000000
171	+1.000015443e+00	-3.209769256e-02	+2.702504841e-02	0.342716834	0.500000000
172	+1.000015539e+00	-3.236024652e-02	+2.718598200e-02	0.344720441	0.500000000
173	+1.000015633e+00	-3.262471795e-02	+2.734225020e-02	0.346724048	0.500000000
174	+1.000015724e+00	-3.289127232e-02	+2.749345247e-02	0.348727655	0.500000000
175	+1.000015811e+00	-3.316007080e-02	+2.763919789e-02	0.350731263	0.500000000
176	+1.000015896e+00	-3.343114471e-02	+2.777938446e-02	0.352734870	0.500000000
177	+1.000015977e+00	-3.370433679e-02	+2.791432994e-02	0.354738477	0.500000000
178	+1.000016055e+00	-3.397947451e-02	+2.804438599e-02	0.356742084	0.500000000
179	+1.000016130e+00	-3.425638535e-02	+2.816990430e-02	0.358745691	0.500000000
180	+1.000016203e+00	-3.453489679e-02	+2.829123654e-02	0.360749299	0.500000000
181	+1.000016274e+00	-3.481483631e-02	+2.840873440e-02	0.362752906	0.500000000
182	+1.000016342e+00	-3.509603140e-02	+2.852274954e-02	0.364756513	0.500000000
183	+1.000016409e+00	-3.537830952e-02	+2.863363365e-02	0.366760120	0.500000000
184	+1.000016474e+00	-3.566149817e-02	+2.874173839e-02	0.368763727	0.500000000
185	+1.000016537e+00	-3.594542482e-02	+2.884741546e-02	0.370767335	0.500000000
186	+1.000016599e+00	-3.622991695e-02	+2.895101653e-02	0.372770942	0.500000000
187	+1.000016660e+00	-3.651480204e-02	+2.905289327e-02	0.374774549	0.500000000
188	+1.000016721e+00	-3.679990758e-02	+2.915339737e-02	0.376778156	0.500000000
189	+1.000016781e+00	-3.708506103e-02	+2.925288049e-02	0.378781764	0.500000000
190	+1.000016840e+00	-3.737008989e-02	+2.935169432e-02	0.380785371	0.500000000
191	+1.000016899e+00	-3.765482163e-02	+2.945019053e-02	0.382788978	0.500000000
192	+1.000016958e+00	-3.793908373e-02	+2.954872081e-02	0.384792585	0.500000000
193	+1.000017018e+00	-3.822270367e-02	+2.964763682e-02	0.386796192	0.500000000
194	+1.000017077e+00	-3.850550893e-02	+2.974729026e-02	0.388799800	0.500000000
195	+1.000017138e+00	-3.878732699e-02	+2.984803278e-02	0.390803407	0.500000000
196	+1.000017199e+00	-3.906798534e-02	+2.995021608e-02	0.392807014	0.500000000
197	+1.000017262e+00	-3.934731144e-02	+3.005419182e-02	0.394810621	0.500000000
198	+1.000017325e+00	-3.962513279e-02	+3.016031169e-02	0.396814228	0.500000000
199	+1.000017391e+00	-3.990127690e-02	+3.026892731e-02	0.398817836	0.500000000
200	+1.000017458e+00	-4.017557776e-02	+3.038038239e-02	0.400821443	0.500000000
201	+1.000017526e+00	-4.044805192e-02	+3.049479653e-02	0.402825050	0.500000000
202	+1.000017597e+00	-4.071895038e-02	+3.061200163e-02	0.404828657	0.500000000
203	+1.000017669e+00	-4.098853979e-02	+3.073181036e-02	0.406832265	0.500000000
204	+1.000017742e+00	-4.125708682e-02	+3.085403542e-02	0.408835872	0.500000000
205	+1.000017817e+00	-4.152485810e-02	+3.097848946e-02	0.410839479	0.500000000
206	+1.000017893e+00	-4.179212030e-02	+3.110498517e-02	0.412843086	0.500000000
207	+1.000017970e+00	-4.205914007e-02	+3.123333523e-02	0.414846693	0.500000000
208	+1.000018048e+00	-4.232618407e-02	+3.136335231e-02	0.416850301	0.500000000
209	+1.000018127e+00	-4.259351893e-02	+3.149484909e-02	0.418853908	0.500000000
210	+1.000018207e+00	-4.286141133e-02	+3.162763825e-02	0.420857515	0.500000000
211	+1.000018287e+00	-4.313012791e-02	+3.176153247e-02	0.422861122	0.500000000
212	+1.000018368e+00	-4.339993532e-02	+3.189634441e-02	0.424864729	0.500000000
