"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
83	+1.009833322e+00	+0.000000000e+00	-3.018552684e-03	0.166399399
84	+1.009840109e+00	+0.000000000e+00	-2.945083068e-03	0.168403006
85	+1.009846895e+00	+0.000000000e+00	-2.871613451e-03	0.170406613
86	+1.009853682e+00	+0.000000000e+00	-2.798143835e-03	0.172410220
87	+1.009860469e+00	+0.000000000e+00	-2.724674219e-03	0.174413828
88	+1.009867255e+00	+0.000000000e+00	-2.651204602e-03	0.176417435
89	+1.009874042e+00	+0.000000000e+00	-2.577734986e-03	0.178421042
90	+1.009880828e+00	+0.000000000e+00	-2.504265370e-03	0.180424649
91	+1.009887615e+00	+0.000000000e+00	-2.430795753e-03	0.182428257
92	+1.009894402e+00	+0.000000000e+00	-2.357326137e-03	0.184431864
93	+1.009901188e+00	+0.000000000e+00	-2.283856520e-03	0.186435471
94	+1.009907975e+00	+0.000000000e+00	-2.210386904e-03	0.188439078
95	+1.009914762e+00	+0.000000000e+00	-2.136917288e-03	0.190442685
96	+1.009921548e+00	+0.000000000e+00	-2.063447671e-03	0.192446293
97	+1.009928335e+00	+0.000000000e+00	-1.989978055e-03	0.194449900
98	+1.009935122e+00	+0.000000000e+00	-1.916508439e-03	0.196453507
99	+1.009941908e+00	+0.000000000e+00	-1.843038822e-03	0.198457114
100	+1.009948695e+00	+0.000000000e+00	-1.769569206e-03	0.200460721
101	+1.009955482e+00	+0.000000000e+00	-1.696099590e-03	0.202464329
102	+1.009962268e+00	+0.000000000e+00	-1.622629973e-03	0.204467936
103	+1.009969055e+00	+0.000000000e+00	-1.549160357e-03	0.206471543
104	+1.009975841e+00	+0.000000000e+00	-1.475690741e-03	0.208475150
105	+1.009982628e+00	+0.000000000e+00	-1.402221124e-03	0.210478758
106	+1.009989415e+00	+0.000000000e+00	-1.328751508e-03	0.212482365
107	+1.009996201e+00	+0.000000000e+00	-1.255281891e-03	0.214485972
108	+1.010002988e+00	+0.000000000e+00	-1.181812275e-03	0.216489579
109	+1.010009775e+00	+0.000000000e+00	-1.108342659e-03	0.218493186
110	+1.010016561e+00	+0.000000000e+00	-1.034873042e-03	0.220496794
111	+1.010023348e+00	+0.000000000e+00	-9.614034261e-04	0.222500401
112	+1.010030135e+00	+0.000000000e+00	-8.879338097e-04	0.224504008
113	+1.010036921e+00	+0.000000000e+00	-8.144641933e-04	0.226507615
114	+1.010043708e+00	+0.000000000e+00	-7.409945770e-04	0.228511222
115	+1.010050495e+00	+0.000000000e+00	-6.675249606e-04	0.230514830
116	+1.010057281e+00	+0.000000000e+00	-5.940553443e-04	0.232518437
117	+1.010064068e+00	+0.000000000e+00	-5.205857279e-04	0.234522044
118	+1.010070855e+00	+0.000000000e+00	-4.471161116e-04	0.236525651
119	+1.010077641e+00	+0.000000000e+00	-3.736464952e-04	0.238529259
120	+1.010084428e+00	+0.000000000e+00	-3.001768788e-04	0.240532866
121	+1.010091214e+00	+0.000000000e+00	-2.267072625e-04	0.242536473
122	+1.010098001e+00	+0.000000000e+00	-1.532376461e-04	0.244540080
123	+1.010104788e+00	+0.000000000e+00	-7.976802977e-05	0.246543687
124	+1.010111574e+00	+0.000000000e+00	-6.298413412e-06	0.248547295
125	+1.010120072e+00	+0.000000000e+00	+8.569541698e-05	0.250550902
126	+1.010133703e+00	+0.000000000e+00	+2.332618895e-04	0.252554509
127	+1.010147335e+00	+0.000000000e+00	+3.808283620e-04	0.254558116
128	+1.010160966e+00	+0.000000000e+00	+5.283948345e-04	0.256561723
129	+1.010174597e+00	+0.000000000e+00	+6.759613070e-04	0.258565331
130	+1.010188228e+00	+0.000000000e+00	+8.235277795e-04	0.260568938
131	+1.010201860e+00	+0.000000000e+00	+9.710942519e-04	0.262572545
132	+1.010215491e+00	+0.000000000e+00	+1.118660724e-03	0.264576152
133	+1.010229122e+00	+0.000000000e+00	+1.266227197e-03	0.266579760
134	+1.010242753e+00	+0.000000000e+00	+1.413793669e-03	0.268583367
135	+1.010256385e+00	+0.000000000e+00	+1.561360142e-03	0.270586974
136	+1.010270016e+00	+0.000000000e+00	+1.708926614e-03	0.272590581
137	+1.010283647e+00	+0.000000000e+00	+1.856493087e-03	0.274594188
138	+1.010297278e+00	+0.000000000e+00	+2.004059559e-03	0.276597796
139	+1.010310909e+00	+0.000000000e+00	+2.151626032e-03	0.278601403
140	+1.010324541e+00	+0.000000000e+00	+2.299192504e-03	0.280605010
141	+1.010338172e+00	+0.000000000e+00	+2.446758977e-03	0.282608617
142	+1.010351803e+00	+0.000000000e+00	+2.594325449e-03	0.284612224
143	+1.010365434e+00	+0.000000000e+00	+2.741891922e-03	0.286615832
144	+1.010379066e+00	+0.000000000e+00	+2.889458394e-03	0.288619439
145	+1.010392697e+00	+0.000000000e+00	+3.037024867e-03	0.290623046
146	+1.010406328e+00	+0.000000000e+00	+3.184591339e-03	0.292626653
147	+1.010419959e+00	+0.000000000e+00	+3.332157812e-03	0.294630261
148	+1.010433591e+00	+0.000000000e+00	+3.479724284e-03	0.296633868
149	+1.010447222e+00	+0.000000000e+00	+3.627290757e-03	0.298637475
150	+1.010460853e+00	+0.000000000e+00	+3.774857229e-03	0.300641082
151	+1.010474484e+00	+0.000000000e+00	+3.922423702e-03	0.302644689
152	+1.010488115e+00	+0.000000000e+00	+4.069990174e-03	0.304648297
153	+1.010501747e+00	+0.000000000e+00	+4.217556647e-03	0.306651904
154	+1.010515378e+00	+0.000000000e+00	+4.365123119e-03	0.308655511
155	+1.010529009e+00	+0.000000000e+00	+4.512689592e-03	0.310659118
156	+1.010542640e+00	+0.000000000e+00	+4.660256064e-03	0.312662725
157	+1.010556272e+00	+0.000000000e+00	+4.807822537e-03	0.314666333
158	+1.010569903e+00	+0.000000000e+00	+4.955389009e-03	0.316669940
159	+1.010583534e+00	+0.000000000e+00	+5.102955482e-03	0.318673547
160	+1.010597165e+00	+0.000000000e+00	+5.250521954e-03	0.320677154
161	+1.010610797e+00	+0.000000000e+00	+5.398088427e-03	0.322680762
162	+1.010624428e+00	+0.000000000e+00	+5.545654899e-03	0.324684369
