"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
83	+9.901615092e-01	+0.000000000e+00	-3.018887982e-03	0.166399399
84	+9.901548101e-01	+0.000000000e+00	-2.945410335e-03	0.168403006
85	+9.901481110e-01	+0.000000000e+00	-2.871932687e-03	0.170406613
86	+9.901414118e-01	+0.000000000e+00	-2.798455040e-03	0.172410220
87	+9.901347127e-01	+0.000000000e+00	-2.724977392e-03	0.174413828
88	+9.901280136e-01	+0.000000000e+00	-2.651499745e-03	0.176417435
89	+9.901213144e-01	+0.000000000e+00	-2.578022098e-03	0.178421042
90	+9.901146153e-01	+0.000000000e+00	-2.504544450e-03	0.180424649
91	+9.901079161e-01	+0.000000000e+00	-2.431066803e-03	0.182428257
92	+9.901012170e-01	+0.000000000e+00	-2.357589155e-03	0.184431864
93	+9.900945179e-01	+0.000000000e+00	-2.284111508e-03	0.186435471
94	+9.900878187e-01	+0.000000000e+00	-2.210633860e-03	0.188439078
95	+9.900811196e-01	+0.000000000e+00	-2.137156213e-03	0.190442685
96	+9.900744205e-01	+0.000000000e+00	-2.063678565e-03	0.192446293
97	+9.900677213e-01	+0.000000000e+00	-1.990200918e-03	0.194449900
98	+9.900610222e-01	+0.000000000e+00	-1.916723270e-03	0.196453507
99	+9.900543231e-01	+0.000000000e+00	-1.843245623e-03	0.198457114
100	+9.900476239e-01	+0.000000000e+00	-1.769767976e-03	0.200460721
101	+9.900409248e-01	+0.000000000e+00	-1.696290328e-03	0.202464329
102	+9.900342257e-01	+0.000000000e+00	-1.622812681e-03	0.204467936
103	+9.900275265e-01	+0.000000000e+00	-1.549335033e-03	0.206471543
104	+9.900208274e-01	+0.000000000e+00	-1.475857386e-03	0.208475150
105	+9.900141283e-01	+0.000000000e+00	-1.402379738e-03	0.210478758
106	+9.900074291e-01	+0.000000000e+00	-1.328902091e-03	0.212482365
107	+9.900007300e-01	+0.000000000e+00	-1.255424443e-03	0.214485972
108	+9.899940308e-01	+0.000000000e+00	-1.181946796e-03	0.216489579
109	+9.899873317e-01	+0.000000000e+00	-1.108469149e-03	0.218493186
110	+9.899806326e-01	+0.000000000e+00	-1.034991501e-03	0.220496794
111	+9.899739334e-01	+0.000000000e+00	-9.615138536e-04	0.222500401
112	+9.899672343e-01	+0.000000000e+00	-8.880362061e-04	0.224504008
113	+9.899605352e-01	+0.000000000e+00	-8.145585587e-04	0.226507615
114	+9.899538360e-01	+0.000000000e+00	-7.410809112e-04	0.228511222
115	+9.899471369e-01	+0.000000000e+00	-6.676032638e-04	0.230514830
116	+9.899404378e-01	+0.000000000e+00	-5.941256163e-04	0.232518437
117	+9.899337386e-01	+0.000000000e+00	-5.206479689e-04	0.234522044
118	+9.899270395e-01	+0.000000000e+00	-4.471703214e-04	0.236525651
119	+9.899203404e-01	+0.000000000e+00	-3.736926740e-04	0.238529259
120	+9.899136412e-01	+0.000000000e+00	-3.002150265e-04	0.240532866
121	+9.899069421e-01	+0.000000000e+00	-2.267373791e-04	0.242536473
122	+9.899002429e-01	+0.000000000e+00	-1.532597316e-04	0.244540080
123	+9.898935438e-01	+0.000000000e+00	-7.978208418e-05	0.246543687
124	+9.898868447e-01	+0.000000000e+00	-6.304436732e-06	0.248547295
125	+9.898784568e-01	+0.000000000e+00	+8.569541698e-05	0.250550902
126	+9.898650028e-01	+0.000000000e+00	+2.332618895e-04	0.252554509
127	+9.898515488e-01	+0.000000000e+00	+3.808283620e-04	0.254558116
128	+9.898380948e-01	+0.000000000e+00	+5.283948345e-04	0.256561723
129	+9.898246409e-01	+0.000000000e+00	+6.759613070e-04	0.258565331
130	+9.898111869e-01	+0.000000000e+00	+8.235277795e-04	0.260568938
131	+9.897977329e-01	+0.000000000e+00	+9.710942519e-04	0.262572545
132	+9.897842789e-01	+0.000000000e+00	+1.118660724e-03	0.264576152
133	+9.897708249e-01	+0.000000000e+00	+1.266227197e-03	0.266579760
134	+9.897573709e-01	+0.000000000e+00	+1.413793669e-03	0.268583367
135	+9.897439169e-01	+0.000000000e+00	+1.561360142e-03	0.270586974
136	+9.897304629e-01	+0.000000000e+00	+1.708926614e-03	0.272590581
137	+9.897170089e-01	+0.000000000e+00	+1.856493087e-03	0.274594188
138	+9.897035549e-01	+0.000000000e+00	+2.004059559e-03	0.276597796
139	+9.896901009e-01	+0.000000000e+00	+2.151626032e-03	0.278601403
140	+9.896766469e-01	+0.000000000e+00	+2.299192504e-03	0.280605010
141	+9.896631929e-01	+0.000000000e+00	+2.446758977e-03	0.282608617
142	+9.896497389e-01	+0.000000000e+00	+2.594325449e-03	0.284612224
143	+9.896362849e-01	+0.000000000e+00	+2.741891922e-03	0.286615832
144	+9.896228310e-01	+0.000000000e+00	+2.889458394e-03	0.288619439
145	+9.896093770e-01	+0.000000000e+00	+3.037024867e-03	0.290623046
146	+9.895959230e-01	+0.000000000e+00	+3.184591339e-03	0.292626653
147	+9.895824690e-01	+0.000000000e+00	+3.332157812e-03	0.294630261
148	+9.895690150e-01	+0.000000000e+00	+3.479724284e-03	0.296633868
149	+9.895555610e-01	+0.000000000e+00	+3.627290757e-03	0.298637475
150	+9.895421070e-01	+0.000000000e+00	+3.774857229e-03	0.300641082
151	+9.895286530e-01	+0.000000000e+00	+3.922423702e-03	0.302644689
152	+9.895151990e-01	+0.000000000e+00	+4.069990174e-03	0.304648297
153	+9.895017450e-01	+0.000000000e+00	+4.217556647e-03	0.306651904
154	+9.894882910e-01	+0.000000000e+00	+4.365123119e-03	0.308655511
155	+9.894748370e-01	+0.000000000e+00	+4.512689592e-03	0.310659118
156	+9.894613830e-01	+0.000000000e+00	+4.660256064e-03	0.312662725
157	+9.894479290e-01	+0.000000000e+00	+4.807822537e-03	0.314666333
158	+9.894344750e-01	+0.000000000e+00	+4.955389009e-03	0.316669940
159	+9.894210211e-01	+0.000000000e+00	+5.102955482e-03	0.318673547
160	+9.894075671e-01	+0.000000000e+00	+5.250521954e-03	0.320677154
161	+9.893941131e-01	+0.000000000e+00	+5.398088427e-03	0.322680762
162	+9.893806591e-01	+0.000000000e+00	+5.545654899e-03	0.324684369
163	+9.893672051e-01	+0.000000000e+00	+5.693221372e-03	0.326687976
164	+9.893537511e-01	+0.000000000e+00	+5.840787844e-03	0.328691583
165	+9.893402971e-01	+0.000000000e+00	+5.988354317e-03	0.330695190
166	+9.893268431e-01	+0.000000000e+00	+6.135920789e-03	0.332698798
167	+9.893133891e-01	+0.000000000e+00	+6.283487262e-03	0.334702405
168	+9.892999351e-01	+0.000000000e+00	+6.431053734e-03	0.336706012
169	+9.892864811e-01	+0.000000000e+00	+6.578620207e-03	0.338709619
170	+9.892730271e-01	+0.000000000e+00	+6.726186679e-03	0.340713226
171	+9.892595731e-01	+0.000000000e+00	+6.873753152e-03	0.342716834
