Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
105 	 0.000021 	 0.000289 	 0.029772 	 0.408272
106 	 0.000021 	 0.000289 	 0.029845 	 0.408222
107 	 0.000021 	 0.000289 	 0.029758 	 0.408547
108 	 0.000021 	 0.000289 	 0.029703 	 0.408437
109 	 0.000021 	 0.000289 	 0.029607 	 0.408613
110 	 0.000021 	 0.000289 	 0.029509 	 0.408679
111 	 0.000018 	 0.000289 	 0.025181 	 0.409314
112 	 0.000018 	 0.000289 	 0.025566 	 0.408452
113 	 0.000020 	 0.000285 	 0.027615 	 0.403530
114 	 0.000020 	 0.000286 	 0.027731 	 0.403943
115 	 0.000020 	 0.000285 	 0.027859 	 0.403775
116 	 0.000020 	 0.000285 	 0.027891 	 0.403659
117 	 0.000020 	 0.000285 	 0.028025 	 0.403424
118 	 0.000020 	 0.000285 	 0.028082 	 0.403517
119 	 0.000020 	 0.000286 	 0.028134 	 0.403976
120 	 0.000020 	 0.000286 	 0.028140 	 0.404668
121 	 0.000017 	 0.000286 	 0.023518 	 0.405037
122 	 0.000017 	 0.000287 	 0.023837 	 0.405627
123 	 0.000017 	 0.000287 	 0.023850 	 0.405656
124 	 0.000017 	 0.000287 	 0.024005 	 0.405298
125 	 0.000017 	 0.000287 	 0.024200 	 0.405456
126 	 0.000017 	 0.000287 	 0.024527 	 0.405738
127 	 0.000018 	 0.000287 	 0.024970 	 0.406210
128 	 0.000018 	 0.000287 	 0.025422 	 0.405877
129 	 0.000018 	 0.000286 	 0.025734 	 0.405077
130 	 0.000018 	 0.000286 	 0.025790 	 0.404043
131 	 0.000016 	 0.000285 	 0.023050 	 0.403466
132 	 0.000016 	 0.000285 	 0.023295 	 0.402662
133 	 0.000017 	 0.000285 	 0.023582 	 0.402695
134 	 0.000017 	 0.000285 	 0.023576 	 0.403123
135 	 0.000017 	 0.000285 	 0.024364 	 0.402680
136 	 0.000018 	 0.000285 	 0.025460 	 0.402980
137 	 0.000018 	 0.000284 	 0.025282 	 0.402268
138 	 0.000018 	 0.000284 	 0.025379 	 0.401840
139 	 0.000018 	 0.000284 	 0.025485 	 0.401289
140 	 0.000018 	 0.000283 	 0.025761 	 0.400014
141 	 0.000016 	 0.000283 	 0.022096 	 0.399608
142 	 0.000016 	 0.000282 	 0.023236 	 0.398296
143 	 0.000016 	 0.000282 	 0.023010 	 0.399122
144 	 0.000016 	 0.000282 	 0.023091 	 0.399400
145 	 0.000016 	 0.000282 	 0.023266 	 0.399222
146 	 0.000017 	 0.000282 	 0.023470 	 0.398265
147 	 0.000017 	 0.000281 	 0.023543 	 0.397874
148 	 0.000017 	 0.000280 	 0.023967 	 0.396241
149 	 0.000017 	 0.000280 	 0.024249 	 0.395688
150 	 0.000017 	 0.000280 	 0.024099 	 0.396338
151 	 0.000015 	 0.000280 	 0.020943 	 0.396599
152 	 0.000015 	 0.000281 	 0.021133 	 0.397558
153 	 0.000015 	 0.000281 	 0.021158 	 0.397267
154 	 0.000015 	 0.000280 	 0.021342 	 0.396304
155 	 0.000016 	 0.000282 	 0.022547 	 0.399035
156 	 0.000016 	 0.000282 	 0.022841 	 0.398844
157 	 0.000017 	 0.000280 	 0.023470 	 0.396506
158 	 0.000017 	 0.000279 	 0.023702 	 0.394421
159 	 0.000017 	 0.000278 	 0.023704 	 0.393423
160 	 0.000017 	 0.000279 	 0.023634 	 0.393911
161 	 0.000014 	 0.000279 	 0.020045 	 0.394491
162 	 0.000014 	 0.000279 	 0.020078 	 0.394570
163 	 0.000014 	 0.000279 	 0.020223 	 0.394633
164 	 0.000017 	 0.000284 	 0.024042 	 0.401533
165 	 0.000016 	 0.000281 	 0.023286 	 0.396914
166 	 0.000016 	 0.000280 	 0.022450 	 0.396188
167 	 0.000016 	 0.000280 	 0.022486 	 0.396403
168 	 0.000016 	 0.000280 	 0.022569 	 0.396285
