"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
83	+1.000000000e+00	+0.000000000e+00	-2.057799368e-02	0.166399399
84	+1.000000000e+00	+0.000000000e+00	-2.008510760e-02	0.168403006
85	+1.000000000e+00	+0.000000000e+00	-1.959222153e-02	0.170406613
86	+1.000000000e+00	+0.000000000e+00	-1.909933545e-02	0.172410220
87	+1.000000000e+00	+0.000000000e+00	-1.860644938e-02	0.174413828
88	+1.000000000e+00	+0.000000000e+00	-1.811356330e-02	0.176417435
89	+1.000000000e+00	+0.000000000e+00	-1.762067722e-02	0.178421042
90	+1.000000000e+00	+0.000000000e+00	-1.712779115e-02	0.180424649
91	+1.000000000e+00	+0.000000000e+00	-1.663490507e-02	0.182428257
92	+1.000000000e+00	+0.000000000e+00	-1.614201899e-02	0.184431864
93	+1.000000000e+00	+0.000000000e+00	-1.564913292e-02	0.186435471
94	+1.000000000e+00	+0.000000000e+00	-1.515624684e-02	0.188439078
95	+1.000000000e+00	+0.000000000e+00	-1.466336077e-02	0.190442685
96	+1.000000000e+00	+0.000000000e+00	-1.417047469e-02	0.192446293
97	+1.000000000e+00	+0.000000000e+00	-1.367758861e-02	0.194449900
98	+1.000000000e+00	+0.000000000e+00	-1.318470254e-02	0.196453507
99	+1.000000000e+00	+0.000000000e+00	-1.269181646e-02	0.198457114
100	+1.000000000e+00	+0.000000000e+00	-1.219893039e-02	0.200460721
101	+1.000000000e+00	+0.000000000e+00	-1.170604431e-02	0.202464329
102	+1.000000000e+00	+0.000000000e+00	-1.121315823e-02	0.204467936
103	+1.000000000e+00	+0.000000000e+00	-1.072027216e-02	0.206471543
104	+1.000000000e+00	+0.000000000e+00	-1.022738608e-02	0.208475150
105	+1.000000000e+00	+0.000000000e+00	-9.734500004e-03	0.210478758
106	+1.000000000e+00	+0.000000000e+00	-9.241613928e-03	0.212482365
107	+1.000000000e+00	+0.000000000e+00	-8.748727852e-03	0.214485972
108	+1.000000000e+00	+0.000000000e+00	-8.255841776e-03	0.216489579
109	+1.000000000e+00	+0.000000000e+00	-7.762955700e-03	0.218493186
110	+1.000000000e+00	+0.000000000e+00	-7.270069624e-03	0.220496794
111	+1.000000000e+00	+0.000000000e+00	-6.777183547e-03	0.222500401
112	+1.000000000e+00	+0.000000000e+00	-6.284297471e-03	0.224504008
113	+1.000000000e+00	+0.000000000e+00	-5.791411395e-03	0.226507615
114	+1.000000000e+00	+0.000000000e+00	-5.298525319e-03	0.228511222
115	+1.000000000e+00	+0.000000000e+00	-4.805639243e-03	0.230514830
116	+1.000000000e+00	+0.000000000e+00	-4.312753167e-03	0.232518437
117	+1.000000000e+00	+0.000000000e+00	-3.819867090e-03	0.234522044
118	+1.000000000e+00	+0.000000000e+00	-3.326981014e-03	0.236525651
119	+1.000000000e+00	+0.000000000e+00	-2.834094938e-03	0.238529259
120	+1.000000000e+00	+0.000000000e+00	-2.341208862e-03	0.240532866
121	+1.000000000e+00	+0.000000000e+00	-1.848322786e-03	0.242536473
122	+1.000000000e+00	+0.000000000e+00	-1.355436709e-03	0.244540080
123	+1.000000000e+00	+0.000000000e+00	-8.625506333e-04	0.246543687
124	+1.000000000e+00	+0.000000000e+00	-3.696645571e-04	0.248547295
125	+1.000000060e+00	+0.000000000e+00	+3.006011521e-04	0.250550902
126	+1.000001501e+00	+0.000000000e+00	+1.502999724e-03	0.252554509
127	+1.000004850e+00	+0.000000000e+00	+2.705374152e-03	0.254558116
128	+1.000010092e+00	+0.000000000e+00	+3.907705120e-03	0.256561723
129	+1.000017212e+00	+0.000000000e+00	+5.109973311e-03	0.258565331
130	+1.000026193e+00	+0.000000000e+00	+6.312159411e-03	0.260568938
131	+1.000037022e+00	+0.000000000e+00	+7.514244104e-03	0.262572545
132	+1.000049681e+00	+0.000000000e+00	+8.716208074e-03	0.264576152
133	+1.000064156e+00	+0.000000000e+00	+9.918032005e-03	0.266579760
134	+1.000080431e+00	+0.000000000e+00	+1.111969658e-02	0.268583367
135	+1.000098491e+00	+0.000000000e+00	+1.232118249e-02	0.270586974
136	+1.000118321e+00	+0.000000000e+00	+1.352247041e-02	0.272590581
137	+1.000139904e+00	+0.000000000e+00	+1.472354103e-02	0.274594188
138	+1.000163225e+00	+0.000000000e+00	+1.592437504e-02	0.276597796
139	+1.000188270e+00	+0.000000000e+00	+1.712495311e-02	0.278601403
140	+1.000215022e+00	+0.000000000e+00	+1.832525593e-02	0.280605010
141	+1.000243466e+00	+0.000000000e+00	+1.952526419e-02	0.282608617
142	+1.000273587e+00	+0.000000000e+00	+2.072495857e-02	0.284612224
143	+1.000305368e+00	+0.000000000e+00	+2.192431975e-02	0.286615832
144	+1.000338796e+00	+0.000000000e+00	+2.312332843e-02	0.288619439
