"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
62	+1.002038759e+00	-5.621644222e-02	+8.006173642e-02	0.124323647	0.000100000
63	+1.002127525e+00	-5.655398961e-02	+8.136843579e-02	0.126327255	0.000100000
64	+1.002216642e+00	-5.690332947e-02	+8.267371025e-02	0.128330862	0.000100000
65	+1.002306081e+00	-5.726433863e-02	+8.397750327e-02	0.130334469	0.000100000
66	+1.002395812e+00	-5.763689392e-02	+8.527975843e-02	0.132338076	0.000100000
67	+1.002485807e+00	-5.802087216e-02	+8.658041942e-02	0.134341683	0.000100000
68	+1.002576034e+00	-5.841615011e-02	+8.787943008e-02	0.136345291	0.000100000
69	+1.002666463e+00	-5.882260455e-02	+8.917673437e-02	0.138348898	0.000100000
70	+1.002757065e+00	-5.924011222e-02	+9.047227639e-02	0.140352505	0.000100000
71	+1.002847808e+00	-5.966854983e-02	+9.176600039e-02	0.142356112	0.000100000
72	+1.002938661e+00	-6.010779411e-02	+9.305785077e-02	0.144359719	0.000100000
73	+1.003029593e+00	-6.055772172e-02	+9.434777209e-02	0.146363327	0.000100000
74	+1.003120573e+00	-6.101820933e-02	+9.563570906e-02	0.148366934	0.000100000
75	+1.003211569e+00	-6.148913359e-02	+9.692160658e-02	0.150370541	0.000100000
76	+1.003302550e+00	-6.197037112e-02	+9.820540972e-02	0.152374148	0.000100000
77	+1.003393483e+00	-6.246179853e-02	+9.948706373e-02	0.154377756	0.000100000
78	+1.003484336e+00	-6.296329242e-02	+1.007665140e-01	0.156381363	0.000100000
79	+1.003575077e+00	-6.347472935e-02	+1.020437063e-01	0.158384970	0.000100000
80	+1.003665675e+00	-6.399598588e-02	+1.033185862e-01	0.160388577	0.000100000
81	+1.003756096e+00	-6.452693855e-02	+1.045911000e-01	0.162392184	0.000100000
82	+1.003846308e+00	-6.506746387e-02	+1.058611938e-01	0.164395792	0.000100000
83	+1.003936280e+00	-6.561743855e-02	+1.071288141e-01	0.166399399	0.000100000
84	+1.004025977e+00	-6.617674616e-02	+1.083939075e-01	0.168403006	0.000100000
85	+1.004115365e+00	-6.674530806e-02	+1.096564213e-01	0.170406613	0.000100000
86	+1.004204407e+00	-6.732306082e-02	+1.109163028e-01	0.172410220	0.000100000
87	+1.004293066e+00	-6.790994103e-02	+1.121734996e-01	0.174413828	0.000100000
88	+1.004381306e+00	-6.850588525e-02	+1.134279596e-01	0.176417435	0.000100000
89	+1.004469089e+00	-6.911083002e-02	+1.146796310e-01	0.178421042	0.000100000
90	+1.004556379e+00	-6.972471185e-02	+1.159284621e-01	0.180424649	0.000100000
91	+1.004643139e+00	-7.034746724e-02	+1.171744016e-01	0.182428257	0.000100000
92	+1.004729331e+00	-7.097903264e-02	+1.184173984e-01	0.184431864	0.000100000
93	+1.004814918e+00	-7.161934449e-02	+1.196574016e-01	0.186435471	0.000100000
94	+1.004899864e+00	-7.226833922e-02	+1.208943608e-01	0.188439078	0.000100000
95	+1.004984130e+00	-7.292595320e-02	+1.221282257e-01	0.190442685	0.000100000
96	+1.005067680e+00	-7.359212280e-02	+1.233589462e-01	0.192446293	0.000100000
97	+1.005150476e+00	-7.426678437e-02	+1.245864728e-01	0.194449900	0.000100000
98	+1.005232480e+00	-7.494987421e-02	+1.258107560e-01	0.196453507	0.000100000
99	+1.005313657e+00	-7.564132861e-02	+1.270317468e-01	0.198457114	0.000100000
100	+1.005393967e+00	-7.634108384e-02	+1.282493964e-01	0.200460721	0.000100000
101	+1.005473374e+00	-7.704907613e-02	+1.294636564e-01	0.202464329	0.000100000
102	+1.005551841e+00	-7.776524170e-02	+1.306744785e-01	0.204467936	0.000100000
103	+1.005629329e+00	-7.848951673e-02	+1.318818152e-01	0.206471543	0.000100000
104	+1.005705803e+00	-7.922183739e-02	+1.330856187e-01	0.208475150	0.000100000
105	+1.005781225e+00	-7.996213981e-02	+1.342858421e-01	0.210478758	0.000100000
106	+1.005855558e+00	-8.071036010e-02	+1.354824385e-01	0.212482365	0.000100000
107	+1.005928765e+00	-8.146643435e-02	+1.366753615e-01	0.214485972	0.000100000
108	+1.006000808e+00	-8.223029862e-02	+1.378645650e-01	0.216489579	0.000100000
109	+1.006071652e+00	-8.300188894e-02	+1.390500032e-01	0.218493186	0.000100000
110	+1.006141258e+00	-8.378114134e-02	+1.402316308e-01	0.220496794	0.000100000
111	+1.006209592e+00	-8.456799237e-02	+1.414094018e-01	0.222500401	0.000100000
112	+1.006276610e+00	-8.536240021e-02	+1.425832401e-01	0.224504008	0.000100000
113	+1.006342256e+00	-8.616438075e-02	+1.437529880e-01	0.226507615	0.000100000
114	+1.006406472e+00	-8.697396015e-02	+1.449184745e-01	0.228511222	0.000100000
115	+1.006469198e+00	-8.779116447e-02	+1.460795309e-01	0.230514830	0.000100000
116	+1.006530374e+00	-8.861601975e-02	+1.472359896e-01	0.232518437	0.000100000
117	+1.006589943e+00	-8.944855198e-02	+1.483876853e-01	0.234522044	0.000100000
118	+1.006647844e+00	-9.028878707e-02	+1.495344543e-01	0.236525651	0.000100000
119	+1.006704017e+00	-9.113675090e-02	+1.506761347e-01	0.238529259	0.000100000
120	+1.006758404e+00	-9.199246929e-02	+1.518125666e-01	0.240532866	0.000100000
121	+1.006810946e+00	-9.285596798e-02	+1.529435918e-01	0.242536473	0.000100000
122	+1.006861583e+00	-9.372727269e-02	+1.540690542e-01	0.244540080	0.000100000
123	+1.006910255e+00	-9.460640903e-02	+1.551887994e-01	0.246543687	0.000100000
124	+1.006956904e+00	-9.549340260e-02	+1.563026753e-01	0.248547295	0.000100000
125	+1.007001471e+00	-9.638827891e-02	+1.574105315e-01	0.250550902	0.000100000
126	+1.007043896e+00	-9.729106341e-02	+1.585122197e-01	0.252554509	0.000100000
127	+1.007084122e+00	-9.820178149e-02	+1.596075936e-01	0.254558116	0.000100000
128	+1.007122089e+00	-9.912045846e-02	+1.606965090e-01	0.256561723	0.000100000
129	+1.007157740e+00	-1.000471196e-01	+1.617788236e-01	0.258565331	0.000100000
130	+1.007191016e+00	-1.009817900e-01	+1.628543974e-01	0.260568938	0.000100000
131	+1.007221859e+00	-1.019244949e-01	+1.639230923e-01	0.262572545	0.000100000
132	+1.007250211e+00	-1.028752594e-01	+1.649847723e-01	0.264576152	0.000100000
133	+1.007276016e+00	-1.038341082e-01	+1.660393037e-01	0.266579760	0.000100000
134	+1.007299217e+00	-1.048010664e-01	+1.670865546e-01	0.268583367	0.000100000
135	+1.007319756e+00	-1.057761588e-01	+1.681263957e-01	0.270586974	0.000100000
136	+1.007337577e+00	-1.067594102e-01	+1.691586993e-01	0.272590581	0.000100000
137	+1.007352624e+00	-1.077508451e-01	+1.701833403e-01	0.274594188	0.000100000
138	+1.007364842e+00	-1.087504881e-01	+1.712001954e-01	0.276597796	0.000100000
139	+1.007374175e+00	-1.097583613e-01	+1.722091464e-01	0.278601403	0.000100000
140	+1.007380583e+00	-1.107744318e-01	+1.732101325e-01	0.280605010	0.000100000
141	+1.007384039e+00	-1.117985952e-01	+1.742031665e-01	0.282608617	0.000100000
142	+1.007384521e+00	-1.128307425e-01	+1.751882667e-01	0.284612224	0.000100000
143	+1.007382007e+00	-1.138707644e-01	+1.761654521e-01	0.286615832	0.000100000
144	+1.007376475e+00	-1.149185516e-01	+1.771347418e-01	0.288619439	0.000100000
145	+1.007367903e+00	-1.159739949e-01	+1.780961556e-01	0.290623046	0.000100000
146	+1.007356272e+00	-1.170369849e-01	+1.790497136e-01	0.292626653	0.000100000
147	+1.007341561e+00	-1.181074124e-01	+1.799954365e-01	0.294630261	0.000100000
148	+1.007323753e+00	-1.191851679e-01	+1.809333451e-01	0.296633868	0.000100000
149	+1.007302828e+00	-1.202701422e-01	+1.818634610e-01	0.298637475	0.000100000
150	+1.007278769e+00	-1.213622258e-01	+1.827858060e-01	0.300641082	0.000100000
151	+1.007251560e+00	-1.224613094e-01	+1.837004022e-01	0.302644689	0.000100000
152	+1.007221185e+00	-1.235672836e-01	+1.846072723e-01	0.304648297	0.000100000
153	+1.007187627e+00	-1.246800389e-01	+1.855064394e-01	0.306651904	0.000100000
154	+1.007150873e+00	-1.257994660e-01	+1.863979268e-01	0.308655511	0.000100000
155	+1.007110909e+00	-1.269254554e-01	+1.872817582e-01	0.310659118	0.000100000
156	+1.007067721e+00	-1.280578977e-01	+1.881579578e-01	0.312662725	0.000100000
157	+1.007021297e+00	-1.291966834e-01	+1.890265502e-01	0.314666333	0.000100000
158	+1.006971625e+00	-1.303417030e-01	+1.898875600e-01	0.316669940	0.000100000
159	+1.006918695e+00	-1.314928472e-01	+1.907410126e-01	0.318673547	0.000100000
160	+1.006862496e+00	-1.326500064e-01	+1.915869334e-01	0.320677154	0.000100000
161	+1.006803019e+00	-1.338130712e-01	+1.924253484e-01	0.322680762	0.000100000
162	+1.006740254e+00	-1.349819322e-01	+1.932562836e-01	0.324684369	0.000100000
163	+1.006674194e+00	-1.361564798e-01	+1.940797656e-01	0.326687976	0.000100000
164	+1.006604831e+00	-1.373366046e-01	+1.948958212e-01	0.328691583	0.000100000
165	+1.006532160e+00	-1.385221972e-01	+1.957044775e-01	0.330695190	0.000100000
166	+1.006456174e+00	-1.397131481e-01	+1.965057620e-01	0.332698798	0.000100000
167	+1.006376867e+00	-1.409093484e-01	+1.972997049e-01	0.334702405	0.000100000
168	+1.006294240e+00	-1.421106929e-01	+1.980863624e-01	0.336706012	0.000100000
169	+1.006208290e+00	-1.433170793e-01	+1.988658066e-01	0.338709619	0.000100000
170	+1.006119020e+00	-1.445284050e-01	+1.996381095e-01	0.340713226	0.000100000
171	+1.006026431e+00	-1.457445676e-01	+2.004033430e-01	0.342716834	0.000100000
172	+1.005930524e+00	-1.469654649e-01	+2.011615782e-01	0.344720441	0.000100000
173	+1.005831301e+00	-1.481909943e-01	+2.019128863e-01	0.346724048	0.000100000
174	+1.005728767e+00	-1.494210534e-01	+2.026573379e-01	0.348727655	0.000100000
175	+1.005622923e+00	-1.506555400e-01	+2.033950032e-01	0.350731263	0.000100000
176	+1.005513774e+00	-1.518943517e-01	+2.041259522e-01	0.352734870	0.000100000
177	+1.005401325e+00	-1.531373862e-01	+2.048502542e-01	0.354738477	0.000100000
178	+1.005285580e+00	-1.543845412e-01	+2.055679784e-01	0.356742084	0.000100000
179	+1.005166546e+00	-1.556357144e-01	+2.062791936e-01	0.358745691	0.000100000
180	+1.005044227e+00	-1.568908036e-01	+2.069839681e-01	0.360749299	0.000100000
181	+1.004918632e+00	-1.581497065e-01	+2.076823697e-01	0.362752906	0.000100000
182	+1.004789766e+00	-1.594123210e-01	+2.083744661e-01	0.364756513	0.000100000
183	+1.004657638e+00	-1.606785449e-01	+2.090603244e-01	0.366760120	0.000100000
184	+1.004522256e+00	-1.619482762e-01	+2.097400112e-01	0.368763727	0.000100000
185	+1.004383628e+00	-1.632214126e-01	+2.104135930e-01	0.370767335	0.000100000
186	+1.004241764e+00	-1.644978523e-01	+2.110811355e-01	0.372770942	0.000100000
187	+1.004096673e+00	-1.657774931e-01	+2.117427043e-01	0.374774549	0.000100000
188	+1.003948366e+00	-1.670602331e-01	+2.123983645e-01	0.376778156	0.000100000
189	+1.003796852e+00	-1.683459704e-01	+2.130481807e-01	0.378781764	0.000100000
190	+1.003642144e+00	-1.696346031e-01	+2.136922171e-01	0.380785371	0.000100000
191	+1.003484253e+00	-1.709260294e-01	+2.143305375e-01	0.382788978	0.000100000
192	+1.003323190e+00	-1.722201475e-01	+2.149632053e-01	0.384792585	0.000100000
193	+1.003158970e+00	-1.735168556e-01	+2.155902834e-01	0.386796192	0.000100000
194	+1.002991604e+00	-1.748160540e-01	+2.162118336e-01	0.388799800	0.000100000
195	+1.002821069e+00	-1.761178164e-01	+2.168278511e-01	0.390803407	0.000100000
196	+1.002647176e+00	-1.774229987e-01	+2.174380337e-01	0.392807014	0.000100000
197	+1.002469683e+00	-1.787326861e-01	+2.180419969e-01	0.394810621	0.000100000
198	+1.002288347e+00	-1.800479628e-01	+2.186393624e-01	0.396814228	0.000100000
199	+1.002102919e+00	-1.813699118e-01	+2.192297582e-01	0.398817836	0.000100000
200	+1.001913147e+00	-1.826996152e-01	+2.198128181e-01	0.400821443	0.000100000
201	+1.001718775e+00	-1.840381536e-01	+2.203881820e-01	0.402825050	0.000100000
202	+1.001519542e+00	-1.853866067e-01	+2.209554959e-01	0.404828657	0.000100000
203	+1.001315187e+00	-1.867460530e-01	+2.215144114e-01	0.406832265	0.000100000
204	+1.001105439e+00	-1.881175694e-01	+2.220645857e-01	0.408835872	0.000100000
205	+1.000890028e+00	-1.895022317e-01	+2.226056818e-01	0.410839479	0.000100000
206	+1.000668676e+00	-1.909011142e-01	+2.231373679e-01	0.412843086	0.000100000
207	+1.000441101e+00	-1.923152901e-01	+2.236593174e-01	0.414846693	0.000100000
208	+1.000207018e+00	-1.937458306e-01	+2.241712089e-01	0.416850301	0.000100000
209	+9.999661346e-01	-1.951938057e-01	+2.246727256e-01	0.418853908	0.000100000
