"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
176	+1.252184935e+00	+0.000000000e+00	+8.125714849e-02	0.352734870
177	+1.252264002e+00	+0.000000000e+00	+8.213155150e-02	0.354738477
178	+1.252344189e+00	+0.000000000e+00	+8.300799328e-02	0.356742084
179	+1.252425481e+00	+0.000000000e+00	+8.388643906e-02	0.358745691
180	+1.252507862e+00	+0.000000000e+00	+8.476685407e-02	0.360749299
181	+1.252591317e+00	+0.000000000e+00	+8.564920355e-02	0.362752906
182	+1.252675830e+00	+0.000000000e+00	+8.653345272e-02	0.364756513
183	+1.252761387e+00	+0.000000000e+00	+8.741956682e-02	0.366760120
184	+1.252847971e+00	+0.000000000e+00	+8.830751107e-02	0.368763727
185	+1.252935568e+00	+0.000000000e+00	+8.919725072e-02	0.370767335
186	+1.253024161e+00	+0.000000000e+00	+9.008875099e-02	0.372770942
187	+1.253113735e+00	+0.000000000e+00	+9.098197712e-02	0.374774549
188	+1.253204275e+00	+0.000000000e+00	+9.187689433e-02	0.376778156
189	+1.253295765e+00	+0.000000000e+00	+9.277346786e-02	0.378781764
190	+1.253388191e+00	+0.000000000e+00	+9.367166294e-02	0.380785371
191	+1.253481535e+00	+0.000000000e+00	+9.457144480e-02	0.382788978
192	+1.253575784e+00	+0.000000000e+00	+9.547277867e-02	0.384792585
193	+1.253670921e+00	+0.000000000e+00	+9.637562979e-02	0.386796192
194	+1.253766932e+00	+0.000000000e+00	+9.727996339e-02	0.388799800
195	+1.253863800e+00	+0.000000000e+00	+9.818574469e-02	0.390803407
196	+1.253961510e+00	+0.000000000e+00	+9.909293894e-02	0.392807014
197	+1.254060046e+00	+0.000000000e+00	+1.000015114e-01	0.394810621
198	+1.254159394e+00	+0.000000000e+00	+1.009114272e-01	0.396814228
199	+1.254259538e+00	+0.000000000e+00	+1.018226516e-01	0.398817836
200	+1.254360462e+00	+0.000000000e+00	+1.027351500e-01	0.400821443
201	+1.254462151e+00	+0.000000000e+00	+1.036488874e-01	0.402825050
202	+1.254564590e+00	+0.000000000e+00	+1.045638292e-01	0.404828657
203	+1.254667762e+00	+0.000000000e+00	+1.054799405e-01	0.406832265
204	+1.254771653e+00	+0.000000000e+00	+1.063971866e-01	0.408835872
205	+1.254876248e+00	+0.000000000e+00	+1.073155327e-01	0.410839479
206	+1.254981529e+00	+0.000000000e+00	+1.082349441e-01	0.412843086
207	+1.255087483e+00	+0.000000000e+00	+1.091553860e-01	0.414846693
208	+1.255194094e+00	+0.000000000e+00	+1.100768237e-01	0.416850301
