Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000087 	 0.000350 	 0.198826 	 0.796364
2 	 0.000088 	 0.000342 	 0.200438 	 0.776248
3 	 0.000087 	 0.000350 	 0.196674 	 0.795627
4 	 0.000086 	 0.000336 	 0.196135 	 0.764623
5 	 0.000086 	 0.000332 	 0.195047 	 0.753878
6 	 0.000087 	 0.000319 	 0.197273 	 0.725905
7 	 0.000087 	 0.000320 	 0.196688 	 0.727769
8 	 0.000087 	 0.000318 	 0.197873 	 0.722669
9 	 0.000087 	 0.000315 	 0.197502 	 0.716162
10 	 0.000087 	 0.000316 	 0.196926 	 0.719046
11 	 0.000084 	 0.000318 	 0.191332 	 0.723431
12 	 0.000082 	 0.000318 	 0.187150 	 0.723123
13 	 0.000082 	 0.000330 	 0.186618 	 0.749905
14 	 0.000082 	 0.000331 	 0.186142 	 0.752595
15 	 0.000081 	 0.000339 	 0.185074 	 0.769405
16 	 0.000081 	 0.000339 	 0.185125 	 0.771024
17 	 0.000081 	 0.000340 	 0.185204 	 0.772916
18 	 0.000082 	 0.000341 	 0.185307 	 0.776106
19 	 0.000082 	 0.000344 	 0.185429 	 0.782211
20 	 0.000082 	 0.000349 	 0.185492 	 0.793598
21 	 0.000080 	 0.000357 	 0.181707 	 0.811782
22 	 0.000081 	 0.000387 	 0.183332 	 0.878810
23 	 0.000080 	 0.000375 	 0.182248 	 0.851393
24 	 0.000080 	 0.000369 	 0.182409 	 0.839468
25 	 0.000080 	 0.000370 	 0.182877 	 0.842034
26 	 0.000081 	 0.000373 	 0.183092 	 0.846811
27 	 0.000081 	 0.000376 	 0.183179 	 0.854601
28 	 0.000081 	 0.000379 	 0.182999 	 0.861489
29 	 0.000080 	 0.000380 	 0.182676 	 0.863083
30 	 0.000080 	 0.000379 	 0.182484 	 0.861641
31 	 0.000079 	 0.000379 	 0.179303 	 0.860436
32 	 0.000079 	 0.000378 	 0.179190 	 0.858128
33 	 0.000079 	 0.000376 	 0.178750 	 0.854988
34 	 0.000079 	 0.000380 	 0.178834 	 0.863232
35 	 0.000079 	 0.000385 	 0.179203 	 0.874744
36 	 0.000079 	 0.000387 	 0.179299 	 0.880305
37 	 0.000079 	 0.000388 	 0.179292 	 0.881694
38 	 0.000079 	 0.000389 	 0.179258 	 0.884562
39 	 0.000079 	 0.000391 	 0.179180 	 0.888859
40 	 0.000079 	 0.000394 	 0.178978 	 0.896442
41 	 0.000078 	 0.000399 	 0.177321 	 0.906443
42 	 0.000078 	 0.000411 	 0.176978 	 0.933567
43 	 0.000078 	 0.000408 	 0.176333 	 0.928226
44 	 0.000077 	 0.000402 	 0.175472 	 0.914136
45 	 0.000077 	 0.000402 	 0.175500 	 0.914460
46 	 0.000077 	 0.000403 	 0.175706 	 0.916708
