172	0.001	-0.029823	0.031718
173	0.001	-0.030566	0.031903
174	0.001	-0.031312	0.032089
175	0.001	-0.032064	0.032274
176	0.001	-0.03282	0.032459
177	0.001	-0.033585	0.032645
178	0.001	-0.034362	0.03283
179	0.001	-0.03513	0.033016
180	0.001	-0.035897	0.033201
181	0.001	-0.036665	0.033387
182	0.001	-0.037432	0.033572
183	0.001	-0.038198	0.033757
184	0.001	-0.038966	0.033943
185	0.001	-0.039732	0.034128
186	0.001	-0.040501	0.034314
187	0.001	-0.041267	0.034499
188	0.001	-0.042036	0.034685
189	0.001	-0.042802	0.03487
190	0.001	-0.043571	0.035056
191	0.001	-0.044337	0.035241
192	0.001	-0.045103	0.035427
193	0.001	-0.045872	0.035612
194	0.001	-0.046637	0.035798
195	0.001	-0.047406	0.035984
196	0.001	-0.048172	0.036169
197	0.001	-0.048941	0.036355
198	0.001	-0.049707	0.03654
199	0.001	-0.050476	0.036726
200	0.001	-0.051508	0.036975
201	0.001	-0.051637	0.036985
202	0.001	-0.051765	0.036975
203	0.001	-0.051958	0.036898
204	0.001	-0.052087	0.036814
205	0.001	-0.052228	0.036654
206	0.001	-0.052305	0.036461
207	0.001	0	0
208	0.001	-0.000913	0.000185
209	0.001	-0.001513	0.000371
210	0.001	-0.001858	0.000556
211	0.001	-0.002086	0.000742
212	0.001	-0.002278	0.000927
213	0.001	-0.002467	0.001113
214	0.001	-0.002649	0.001298
215	0.001	-0.00281	0.001484
216	0.001	-0.002963	0.001669
217	0.001	-0.003112	0.001855
218	0.001	-0.00326	0.00204
219	0.001	-0.003407	0.002226
220	0.001	-0.003554	0.002411
221	0.001	-0.003703	0.002597
222	0.001	-0.003852	0.002782
223	0.001	-0.004001	0.002968
224	0.001	-0.00415	0.003153
225	0.001	-0.004299	0.003339
226	0.001	-0.004448	0.003524
227	0.001	-0.004596	0.00371
228	0.001	-0.004746	0.003895
229	0.001	-0.004895	0.004081
230	0.001	-0.005044	0.004266
231	0.001	-0.005194	0.004452
232	0.001	-0.005343	0.004637
233	0.001	-0.005493	0.004822
234	0.001	-0.005643	0.005008
235	0.001	-0.005793	0.005193
236	0.001	-0.005944	0.005379
237	0.001	-0.006094	0.005564
238	0.001	-0.006245	0.00575
239	0.001	-0.006396	0.005935
240	0.001	-0.006547	0.006121
241	0.001	-0.006699	0.006306
242	0.001	-0.006851	0.006492
243	0.001	-0.007003	0.006677
244	0.001	-0.007156	0.006863
245	0.001	-0.007309	0.007048
246	0.001	-0.007463	0.007234
247	0.001	-0.007616	0.007419
248	0.001	-0.007771	0.007605
249	0.001	-0.007926	0.00779
250	0.001	-0.008081	0.007976
251	0.001	-0.008237	0.008161
252	0.001	-0.008393	0.008347
253	0.001	-0.00855	0.008532
254	0.001	-0.008707	0.008718
255	0.001	-0.008865	0.008903
256	0.001	-0.009023	0.009089
257	0.001	-0.009182	0.009274
258	0.001	-0.009342	0.00946
259	0.001	-0.009502	0.009645
260	0.001	-0.009663	0.00983
261	0.001	-0.009824	0.010016
262	0.001	-0.009987	0.010201
263	0.001	-0.010149	0.010387
264	0.001	-0.010313	0.010572
265	0.001	-0.010476	0.010758
266	0.001	-0.010642	0.010943
267	0.001	-0.010809	0.011129
268	0.001	-0.010978	0.011314
269	0.001	-0.011148	0.0115
270	0.001	-0.01132	0.011685
271	0.001	-0.011491	0.011871
272	0.001	-0.011664	0.012056
273	0.001	-0.011837	0.012242
274	0.001	-0.01201	0.012427
275	0.001	-0.012184	0.012613
276	0.001	-0.012358	0.012799
277	0.001	-0.012534	0.012984
278	0.001	-0.012709	0.013169
279	0.001	-0.012885	0.013355
280	0.001	-0.013062	0.01354
281	0.001	-0.01324	0.013726
282	0.001	-0.013418	0.013911
283	0.001	-0.013597	0.014097
284	0.001	-0.013776	0.014282
285	0.001	-0.013956	0.014467
286	0.001	-0.014137	0.014653
287	0.001	-0.014318	0.014838
288	0.001	-0.014501	0.015024
289	0.001	-0.014686	0.015209
290	0.001	-0.014872	0.015395
291	0.001	-0.015058	0.01558
292	0.001	-0.015247	0.015766
293	0.001	-0.015436	0.015951
294	0.001	-0.015627	0.016137
295	0.001	-0.015819	0.016322
296	0.001	-0.016012	0.016508
297	0.001	-0.016208	0.016693
298	0.001	-0.016405	0.016879
299	0.001	-0.016603	0.017064
300	0.001	-0.016803	0.01725
301	0.001	-0.017005	0.017436
302	0.001	-0.017208	0.017621
303	0.001	-0.017412	0.017806
304	0.001	-0.017619	0.017992
305	0.001	-0.017828	0.018177
306	0.001	-0.018038	0.018363
307	0.001	-0.01825	0.018548
308	0.001	-0.018465	0.018734
309	0.001	-0.018681	0.018919
310	0.001	-0.018899	0.019105
311	0.001	-0.01912	0.01929
312	0.001	-0.019342	0.019475
313	0.001	-0.019567	0.019661
314	0.001	-0.019794	0.019846
315	0.001	-0.020022	0.020032
316	0.001	-0.020254	0.020217
317	0.001	-0.020488	0.020403
318	0.001	-0.020724	0.020588
319	0.001	-0.020963	0.020774
320	0.001	-0.021204	0.020959
321	0.001	-0.021447	0.021145
322	0.001	-0.021694	0.02133
323	0.001	-0.021943	0.021516
324	0.001	-0.022195	0.021701
325	0.001	-0.022449	0.021887
326	0.001	-0.022707	0.022073
327	0.001	-0.022966	0.022258
328	0.001	-0.023229	0.022444
329	0.001	-0.023496	0.022629
330	0.001	-0.023764	0.022814
331	0.001	-0.024036	0.023
332	0.001	-0.024312	0.023185
333	0.001	-0.024591	0.023371
334	0.001	-0.024872	0.023556
335	0.001	-0.025157	0.023742
336	0.001	-0.025445	0.023927
337	0.001	-0.025737	0.024112
338	0.001	-0.026032	0.024298
339	0.001	-0.026331	0.024483
340	0.001	-0.026634	0.024669
341	0.001	-0.026941	0.024854
342	0.001	-0.02725	0.02504
343	0.001	-0.027562	0.025225
344	0.001	-0.027877	0.025411
345	0.001	-0.028197	0.025596
346	0.001	-0.028521	0.025782
347	0.001	-0.02885	0.025967
348	0.001	-0.029185	0.026153
349	0.001	-0.029525	0.026338
350	0.001	-0.029869	0.026524
351	0.001	-0.030215	0.02671
352	0.001	-0.030567	0.026895
353	0.001	-0.030921	0.027081
354	0.001	-0.03128	0.027266
355	0.001	-0.031643	0.027451
356	0.001	-0.032012	0.027637
357	0.001	-0.032385	0.027822
358	0.001	-0.032763	0.028008
359	0.001	-0.033145	0.028193
360	0.001	-0.033532	0.028379
361	0.001	-0.033924	0.028564
362	0.001	-0.034322	0.02875
363	0.001	-0.034724	0.028935
364	0.001	-0.035133	0.02912
365	0.001	-0.035546	0.029306
366	0.001	-0.035964	0.029491
367	0.001	-0.036387	0.029677
368	0.001	-0.036816	0.029862
369	0.001	-0.03725	0.030048
370	0.001	-0.03769	0.030233
371	0.001	-0.038136	0.030419
372	0.001	-0.038586	0.030604
373	0.001	-0.039042	0.03079
374	0.001	-0.039506	0.030975
